Name	Dataset	Dir_in_dataset	Dir_in_other_set	Enrich_in_other_set	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	core_enrichment	tags_pct	list_pct	signal_pct	Compare_Direction
ESTROGEN_RESPONSE_EARLY	CM38	Positive	NA	NA	196	0.378144091	1.42491799	0.012048193	0.018825301	0.005944832	2582	ELOVL2/SFN/HR/KRT15/ABLIM1/AQP3/SLC24A3/RHOD/SLC7A5/SLC7A2/HSPB8/KRT13/LAD1/FHL2/FKBP4/FAM102A/FARP1/SLC37A1/MLPH/TIAM1/MYBBP1A/SLC19A2/KRT19/SYNGR1/TSKU/GAB2/SLC26A2/NAV2/OLFML3/FOXC1/MYBL1/MSMB/KRT18/MYC/SNX24/BCL11B/TTC39A/IL17RB/GLA/PODXL/TPBG/P2RY2/ESRP2/GJA1/RRP12/MAPT/CYP26B1/SULT2B1/MREG/ALDH3B1/CLIC3/BAG1/OLFM1/ANXA9/KLF4/PPIF/AKAP1/TIPARP	0.3	0.14	0.26	NA
SPERMATOGENESIS	CM38	Positive	NA	NA	135	0.397270656	1.438408443	0.017331023	0.026259125	0.008292355	2407	IL13RA2/GAPDHS/TKTL1/PCSK1N/LDHC/ARL4A/RPL39L/TUBA3C/IL12RB2/TCP11/CCT6B/HSPA2/CCNB2/LPIN1/EZH2/YBX2/DPEP3/DBF4/POMC/IDE/CNIH2/MAP7/CSNK2A2/PHF7/CDKN3/PARP2	0.19	0.13	0.17	NA
ESTROGEN_RESPONSE_LATE	CM38	Positive	NA	NA	195	0.430114865	1.619005784	0.00172117	0.005276488	0.001666259	3273	GAL/SCUBE2/SFN/HR/FGFR3/KLK11/CKB/NMU/SLC24A3/TRIM29/SLC7A5/CA2/HSPB8/KRT13/CDH1/PDCD4/TSTA3/CDC6/ST6GALNAC2/CXCL14/ETFB/FKBP4/FAM102A/FARP1/MDK/TOP2A/TIAM1/SLC29A1/KIF20A/PKP3/KRT19/PERP/SLC26A2/PCP4/FOXC1/MAPK13/DUSP2/IMPA2/IL17RB/RABEP1/GLA/COX6C/TST/TPBG/RNASEH2A/MAPT/CYP26B1/SULT2B1/ALDH3B1/CLIC3/BAG1/OLFM1/LAMC2/ANXA9/KLF4/PPIF/CHST8/IGSF1/GJB3/ASCL1/TFPI2/STIL/CDC20/RET/GPER1/CD44/CXCL12/CCN5/NAB2/BATF/TFF3	0.36	0.18	0.3	NA
G2M_CHECKPOINT	CM38	Positive	NA	NA	196	0.468840224	1.76667806	0.00172117	0.005276488	0.001666259	4243	SLC7A5/E2F3/CDC45/EXO1/CDC6/CHAF1A/HMGA1/RAD21/DDX39A/SQLE/BRCA2/TOP2A/PBK/SLC38A1/CDK4/CCNB2/RACGAP1/MYC/KIF23/H2AZ2/CCNT1/MCM3/CENPF/EZH2/BIRC5/MAD2L1/AURKB/ABL1/PRPF4B/INCENP/ORC5/RBM14/DKC1/DBF4/SMARCC1/TRAIP/KMT5A/NUP50/CDC25A/NOLC1/TNPO2/NOTCH2/TROAP/PTTG1/TFDP1/CDKN3/PURA/RAD54L/HMGB3/NUSAP1/KIF11/HMMR/TTK/MAPK14/ILF3/STIL/ESPL1/CDC20/HIRA/CENPA/NDC80/CUL4A/GSPT1/MKI67/CKS2/HUS1/BUB1/H2AZ1/CDK1/PRC1/CCNA2/HMGN2/PAFAH1B1/CUL1/HSPA8/GINS2/AURKA/MCM5/SS18/HNRNPU/STMN1/LMNB1/WRN/KIF4A/NASP/TPX2/H2BC12/SRSF2/ORC6/SFPQ	0.46	0.23	0.36	NA
MYC_TARGETS_V2	CM38	Positive	NA	NA	55	0.658556941	2.072866148	0.001769912	0.005276488	0.001666259	3993	NOP2/MCM4/AIMP2/BYSL/NOP16/MYBBP1A/PA2G4/PPRC1/CDK4/UNG/PRMT3/DUSP2/MYC/TBRG4/PUS1/NOLC1/RRP12/PES1/WDR74/TCOF1/GNL3/NIP7/WDR43/HSPD1/RRP9/RCL1/GRWD1/TFB2M/NDUFAF4/SRM/MCM5/CBX3/FARSA/EXOSC5/SLC19A1	0.64	0.22	0.5	NA
IL6_JAK_STAT3_SIGNALING	CM9	Positive	Negative	-2.403959708	87	0.411635506	1.692305739	0.002898551	0.01566416	0.007914523	2565	PLA2G2A/CCL7/CNTFR/CD44/CD38/IL2RG/PIM1/CCR1/CXCL13/IL1B/CSF3R/IL2RA/LTB/CXCL9/PDGFC/IRF1/CSF1/PIK3R5/IL15RA/CD14/SOCS3/CXCL10/INHBE/IL1R1/GRB2/CSF2RB	0.3	0.14	0.26	Opposite
TNFA_SIGNALING_VIA_NFKB	CM9	Positive	Negative	-2.402685147	197	0.289573021	1.355054188	0.011278195	0.035244361	0.017807677	1812	LAMB3/BCL2A1/PLAUR/CD44/IL18/GFPT2/SERPINE1/SLC16A6/GADD45B/G0S2/CEBPB/F3/PTX3/CCNL1/IL7R/PPP1R15A/CCL5/IL1B/TNFAIP2/TUBB2A/CXCL2/NINJ1/SLC2A6/TNFRSF9/KLF4/SPSB1/CLCF1/SPHK1/GADD45A/GCH1/IRF1/CSF1/CCRL2/MAP2K3/PLEK/GPR183/ZC3H12A/IL15RA/TRAF1/SERPINB2/ABCA1/NAMPT/SOCS3/CD80	0.22	0.1	0.2	Opposite
COMPLEMENT	CM9	Positive	Negative	-2.39753932	199	0.407955252	1.91059907	0.003759398	0.01566416	0.007914523	1613	MMP12/KLK1/PLAUR/APOA4/GZMB/S100A9/S100A12/C2/PRKCD/ERAP2/CD55/SERPINE1/PIM1/LRP1/CEBPB/F3/SERPINC1/PRSS3/F10/SRC/FCN1/CTSD/CCL5/C4BPB/ITGAM/SCG3/F5/LGALS3/CTSL/CDA/ITIH1/CFH/TIMP2/GZMK/CTSH/MMP13/DGKG/C9/CR1/USP15/PLA2G7/CTSB/F2/C1R/PCSK9/JAK2/LGMN/IRF1/PIK3R5/PLEK/LCP2/GZMA/SERPINB2/LCK	0.27	0.09	0.25	Opposite
ALLOGRAFT_REJECTION	CM9	Positive	Negative	-2.281681663	197	0.471716619	2.207393416	0.003759398	0.01566416	0.007914523	2889	CD3E/GCNT1/CCL13/CD8A/CCL7/GZMB/MMP9/CD79A/C2/IRF4/IL18/IL2RG/CD3D/FCGR2B/PRKCB/NCF4/CD8B/CCR1/CD28/FGR/IL16/CD3G/SRGN/CXCL13/CCL5/TRAT1/IL1B/HCLS1/SIT1/IL2RA/CD96/EREG/PTPRC/LTB/CXCR3/FLNA/ITGAL/STAT4/F2/MAP4K1/JAK2/CXCL9/PTPN6/ZAP70/CSF1/IFNG/CSK/ELF4/LCP2/CRTAM/GZMA/LCK/CD80/RPS3A/CFP/ITK/CCL22/WAS/CD4/CDKN2A/CTSS/BCL3/IL18RAP/PRF1/KLRD1/CD247/FYB1/CD2/EIF5A/HIF1A/TIMP1/SPI1	0.37	0.16	0.31	Opposite
INFLAMMATORY_RESPONSE	CM9	Positive	Negative	-2.276304392	200	0.400365288	1.875596036	0.003759398	0.01566416	0.007914523	2250	MARCO/AQP9/PLAUR/CXCL8/CCL7/SELL/IL18/LPAR1/CD55/SERPINE1/SLC28A2/PDPN/CCR7/SLC7A2/F3/CD82/PTAFR/GABBR1/FFAR2/RGS1/IL7R/PROK2/SLC31A2/C5AR1/CCL5/IL1B/CXCR6/LAMP3/PVR/CSF3R/EREG/NDP/TNFRSF9/KCNA3/SPHK1/CXCL9/GCH1/IRF1/CMKLR1/CCL24/CSF1/KCNMB2/PIK3R5/CCRL2/GPR183/LCP2/IL15RA/LCK/PCDH7/CD14/ABCA1/NAMPT/GNA15/OSM/SLAMF1/ADRM1/GPR132/ADORA2B/LTA/CLEC5A/CCL22/CD69/CXCL10	0.32	0.12	0.28	Opposite
HYPOXIA	CM9	Negative	Negative	-2.027024123	198	-0.462159968	-1.879048409	0.00135318	0.00865651	0.004373815	3275	NFIL3/SDC4/CCN1/LXN/ALDOA/ADM/GAPDH/BTG1/ZNF292/IER3/GRHPR/CDKN1C/MAP3K1/XPNPEP1/BGN/TNFAIP3/CSRP2/PDGFB/CDKN1B/P4HA2/PAM/HK2/NR3C1/GCNT2/SLC2A1/PGM1/FAM162A/RORA/CCNG2/LDHA/TPI1/GBE1/MIF/STC1/GLRX/CAV1/CA12/MXI1/ALDOB/CAVIN3/P4HA1/ERRFI1/STC2/CXCR4/PDK3/SLC25A1/SDC2/ACKR3/ETS1/PFKP/PGK1/ENO1/TMEM45A/LOX/BCL2/PDK1/NDRG1/PPP1R3C/ALDOC/NEDD4L/DDIT4/IGFBP3/SLC37A4/PCK1/ANGPTL4/TGFBI/CP/AK4/PLIN2/VEGFA/PGF	0.36	0.18	0.3	Same
FATTY_ACID_METABOLISM	CM9	Negative	Negative	-1.67621156	151	-0.485654693	-1.916588936	0.001385042	0.00865651	0.004373815	3842	SUCLG1/IDH3B/PTS/OSTC/TP53INP2/ACADVL/IDI1/MAOA/CPT2/GPD1/GPD2/YWHAH/ALDOA/ACSL5/DHCR24/FABP1/ODC1/S100A10/UROS/NSDHL/GRHPR/SDHC/AOC3/UGDH/HADHB/ELOVL5/AUH/SERINC1/HIBCH/LGALS1/SUCLA2/PPARA/ECH1/MLYCD/CPT1A/ALAD/HSD17B11/ECHS1/ETFDH/NBN/HAO2/ACSS1/ADSL/ACAT2/LDHA/XIST/HSDL2/BCKDHB/ECI2/BPHL/HMGCL/EPHX1/TDO2/HMGCS1/MIF/ALDH9A1/ACADM/CA2/ALDH3A2/HMGCS2/ACADL/PTPRG/ACSM3/CRYZ/ALDH1A1/CD36/FMO1/EHHADH/CYP4A11	0.46	0.21	0.36	Same
GLYCOLYSIS	CM9	Negative	Negative	-1.631891644	199	-0.47775064	-1.939631459	0.001358696	0.00865651	0.004373815	1443	NT5E/HS2ST1/LDHA/KIF20A/TPI1/AGRN/SPAG4/PPP2CB/ALDH7A1/PHKA2/PLOD1/SOX9/MIF/STC1/GLCE/GLRX/DSC2/MXI1/AKR1A1/ABCB6/ALDOB/P4HA1/ALDH9A1/STC2/SLC25A13/CXCR4/RARS1/PDK3/SDC2/GOT1/MPI/PLOD2/PFKP/PGK1/ENO1/CHST1/DDIT4/IGFBP3/MET/SLC37A4/ANGPTL4/TGFBI/CYB5A/AK4/TGFA/VEGFA/EGLN3	0.24	0.08	0.22	Same
MTORC1_SIGNALING	CM9	Negative	Negative	-1.564378556	194	-0.442592079	-1.795995872	0.001356852	0.00865651	0.004373815	3748	PSMD14/MCM4/IGFBP5/CANX/TES/IDI1/ELOVL6/CACYBP/NFIL3/ATP5MC1/ALDOA/GCLC/GAPDH/DHCR24/SLC9A3R1/CYB5B/CD9/PSMC6/SSR1/ELOVL5/PPA1/SERPINH1/FGL2/RRM2/TFRC/HK2/CCNG1/TUBG1/SLC2A1/PGM1/PNP/EEF1E1/SQLE/UNG/STARD4/LDHA/ADD3/TPI1/ACLY/CTSC/SCD/FDXR/PHGDH/GBE1/HMGCS1/RIT1/PSPH/STC1/GLRX/P4HA1/CXCR4/GOT1/PIK3R3/TMEM97/PLOD2/PGK1/ENO1/PDK1/SHMT2/SYTL2/DDIT4/SLC37A4/AK4/EGLN3	0.33	0.2	0.27	Same
ANDROGEN_RESPONSE	CM9	Negative	Negative	-1.369734119	97	-0.416360121	-1.54044577	0.013432836	0.039508341	0.019962109	3565	NCOA4/IDI1/STEAP4/INPP4B/SLC26A2/DHCR24/CCND3/TMEM50A/AZGP1/PMEPA1/SLC38A2/PGM3/KRT8/ELOVL5/GNAI3/RAB4A/TSC22D1/ADAMTS1/ZBTB10/SELENOP/SGK1/SCD/LMAN1/PA2G4/ITGAV/HMGCS1/MAF/GUCY1A1/MAP7/PLPP1/ABCC4/NDRG1/ARID5B/CCND1/LIFR/KRT19	0.37	0.19	0.3	Same
KRAS_SIGNALING_DN	CM9	Positive	Positive	1.464384109	194	0.295080562	1.37945064	0.00754717	0.025157233	0.012711023	4662	TFF2/TFCP2L1/CNTFR/ITIH3/CLDN8/SHOX2/ATP6V1B1/RYR2/PTGFR/YBX2/SLC5A5/THRB/SERPINA10/TENT5C/SLC16A7/C5/TFAP2B/ZBTB16/GTF3C5/HSD11B2/IFNG/TAS2R4/SERPINB2/SSTR4/GP2/CD80/CLDN16/DTNB/SIDT1/ACTC1/STAG3/MX1/ATP4A/KMT2D/TENM2/KCND1/HTR1B/TCF7L1/RGS11/ADRA2C/TG/CD40LG/RYR1/NUDT11/SCN10A/SPHK2/CAPN9/TCL1A/HTR1D/CKM/SNN/SPRR3/NPHS1/KRT4/MYO15A/MAGIX/BTG2/ALOX12B/PTPRJ/RIBC2/KRT13/PAX3/KCNE2/SLC12A3	0.33	0.25	0.25	Same
OXIDATIVE_PHOSPHORYLATION	CM9	Negative	Positive	1.733941177	186	-0.449352687	-1.816321663	0.001351351	0.00865651	0.004373815	4836	ACO2/UQCR10/ATP5F1C/SLC25A3/COX7A2/IDH2/NDUFB6/COX4I1/NDUFB8/NDUFA2/MRPS22/MRPL35/MTX2/ECI1/ATP5PB/PHB2/ABCB7/COX7A2L/NDUFS2/UQCRQ/NDUFB3/SUCLG1/ETFA/IDH3B/NQO2/OAT/NDUFS6/TIMM13/UQCRB/NDUFB4/ETFB/ACADVL/ATP5MC1/COX8A/FDX1/COX15/RHOT1/ATP5PO/NDUFA9/ATP5MG/NDUFS4/PDHX/SDHC/ATP5F1B/HADHB/SUPV3L1/POLR2F/NDUFAB1/MGST3/HADHA/SDHB/SUCLA2/ECH1/DLAT/CASP7/CPT1A/VDAC3/HTRA2/ECHS1/NDUFC2/TIMM10/CYB5R3/TOMM22/LRPPRC/ETFDH/TIMM8B/MTRR/MRPL11/COX11/LDHA/TOMM70/PHYH/BDH2/AFG3L2/ACADSB/ACAT1/SLC25A20/PRDX3/ALDH6A1/ACADM/GLUD1/NDUFC1/ATP1B1/PDK4/CYB5A/MAOB	0.46	0.26	0.34	Opposite
E2F_TARGETS	CM9	Negative	Positive	1.970180294	195	-0.423786453	-1.720640223	0.00135318	0.00865651	0.004373815	4109	STAG1/H2AZ1/NOLC1/CTCF/DCLRE1B/MRE11/RAD51AP1/SMC1A/CSE1L/STMN1/AK2/TUBB/EIF2S1/PMS2/MCM4/EED/NUDT21/MCM7/HMGB2/UBE2T/CDCA3/MKI67/ASF1A/PRDX4/ING3/E2F8/RNASEH2A/PPP1R8/NAP1L1/MAD2L1/SPC25/RACGAP1/DSCC1/DIAPH3/SYNCRIP/TMPO/POLD2/PDS5B/EXOSC8/RAD1/USP1/KIF18B/BRCA2/GINS1/DEK/NUP107/SMC6/CDK1/SSRP1/RAD51C/CDKN1B/PRPS1/CCP110/RRM2/NCAPD2/TFRC/NUP153/TUBG1/TP53/PCNA/MSH2/KIF4A/MYC/NBN/UNG/CHEK1/GINS3/RPA2/WEE1/DCTPP1/ZW10/RANBP1/RFC2/PPM1D/CIT/MMS22L/CDKN2C/PA2G4/ANP32E/MCM3/CBX5/SHMT1/TIPIN	0.43	0.22	0.33	Opposite
MYC_TARGETS_V1	CM9	Negative	Positive	2.05330033	184	-0.468944709	-1.89766782	0.001342282	0.00865651	0.004373815	5033	HNRNPD/PSMA4/SRSF7/PSMB3/ILF2/PSMD8/SMARCC1/PSMC4/SLC25A3/HSPD1/SF3A1/LSM2/CCT3/RUVBL2/SNRPB2/TRA2B/PSMB2/SNRPG/TXNL4A/ACP1/EIF4G2/PHB2/H2AZ1/NOLC1/TUFM/CCT7/PHB/AP3S1/CBX3/PSMD3/RPL18/PSMD14/EIF2S1/MCM4/CANX/STARD7/MCM7/HNRNPA3/SNRPD3/HNRNPA1/RPS5/PTGES3/HDGF/UBE2L3/BUB3/DDX21/SRSF3/PWP1/AIMP2/PRDX4/CDK2/PCBP1/NAP1L1/YWHAQ/CCT4/HDAC2/CCT2/MAD2L1/ODC1/NHP2/KARS1/SYNCRIP/UBA2/POLD2/SNRPD1/USP1/YWHAE/PSMC6/EIF3D/DEK/NPM1/EIF4H/NDUFAB1/SERBP1/TCP1/RPL22/MRPL9/RACK1/DDX18/HDDC2/VDAC3/RSL1D1/SSB/HSP90AB1/CLNS1A/PCNA/EIF1AX/MYC/PRPS2/GLO1/FBL/LDHA/TOMM70/RANBP1/MRPS18B/PA2G4/PRDX3/PGK1/TYMS	0.54	0.27	0.39	Opposite
ADIPOGENESIS	CM9	Negative	NA	NA	194	-0.45370917	-1.841107955	0.001356852	0.00865651	0.004373815	3868	FAH/SUCLG1/AK2/CAVIN1/NKIRAS1/PPP1R15B/ATL2/REEP5/ESYT1/ETFB/PPARG/CPT2/ELOVL6/COX8A/GPD2/ALDOA/SOD1/ATP5PO/COQ9/STOM/LPCAT3/SSPN/PDCD4/SDHC/JAGN1/VEGFB/NDUFAB1/MGST3/LPL/MTCH2/MCCC1/HIBCH/SDHB/ECH1/DLAT/GPAM/ECHS1/DHRS7B/TOB1/PGM1/DBT/CCNG2/CD151/COQ3/PHYH/SORBS1/ACLY/ALDH2/MARC2/LAMA4/CDKN2C/GPX3/GBE1/DNAJC15/SLC66A3/COQ5/SAMM50/COL15A1/PRDX3/HSPB8/SLC25A1/ACADM/PTGER3/FABP4/SOWAHC/COL4A1/EPHX2/ACADL/LIFR/CAVIN2/CD36/ANGPTL4/FZD4/PLIN2/CMBL	0.39	0.21	0.31	NA
ANGIOGENESIS	CM9	Negative	NA	NA	36	-0.538180541	-1.681752366	0.006837607	0.024420024	0.012338539	2258	APP/POSTN/THBD/NRP1/CCND2/LPL/KCNJ8/PDGFA/COL3A1/JAG2/PTK2/ITGAV/SPP1/STC1/JAG1/TNFRSF21/SLCO2A1/VEGFA/CXCL6	0.53	0.12	0.46	NA
UV_RESPONSE_DN	CM9	Negative	NA	NA	143	-0.40671168	-1.58987797	0.0041841	0.016092694	0.008131045	3819	CDON/CITED2/MT1E/AGGF1/IGFBP5/PPARG/NRP1/BMPR1A/INPP4B/PDGFRB/CCN1/DLG1/NFKB1/ACVR2A/SRI/GRK5/SNAI2/COL1A2/NFIB/MGMT/MMP16/SLC22A18/CDKN1B/ATXN1/FBLN5/CDC42BPA/EFEMP1/PRKCE/NR3C1/SMAD7/AKT3/COL3A1/TGFBR3/MYC/LAMC1/TJP1/NEK7/RBPMS/PTEN/ADD3/BCKDHB/PMP22/TFPI/DAB2/ANXA4/APBB2/CAV1/ID1/KALRN/SDC2/DDAH1/PLPP3/IGF1R/PTPRM/PIK3R3/DLC1/GJA1/CAP2/MET/ADGRL2	0.42	0.21	0.34	NA
